SYSTEM,SITE,ENBID,ENBNAME,SITE_NAME,CID,CELL_NAME,LAT,LONG,DIR,ANT_BW,TAC,EUARFCN,PCI,MCC,MNC
LTE,CBI1158,500927,CBI1158-L23,CHONBURI HOSPITAL,61,L23-CBI1158-1F,13.351813,100.9826803,0,30,33161,38852,488,520,17
LTE,CBI1158,500927,CBI1158-L23,CHONBURI HOSPITAL,62,L23-CBI1158-2F,13.351813,100.9826803,0,30,33161,39050,488,520,17
LTE,CBI1158,500927,CBI1158-L23,CHONBURI HOSPITAL,63,L23-CBI1158-3F,13.351813,100.9826803,0,30,33161,39248,488,520,17
LTE,CBI1255,500933,CBI1255-L23,MEDICAL RESEARCH CENTER BURAPHA UNIVERSITY,21,L23-CBI1255-1B,13.284933,100.923176,0,30,33162,38852,458,520,17
LTE,CBI1266,502949,CBI1266-L23,SAMITIVEJ CHONBURI HOSPITAL (BUILDING B),11,L23-CBI1266-1A,13.344605,100.975617,360,30,33162,38852,450,520,17
LTE,CBI1266,502949,CBI1266-L23,SAMITIVEJ CHONBURI HOSPITAL (BUILDING B),12,L23-CBI1266-2A,13.344605,100.975617,360,30,33162,39050,450,520,17
LTE,CBI1266,502949,CBI1266-L23,SAMITIVEJ CHONBURI HOSPITAL (BUILDING B),21,L23-CBI1266-1B,13.344605,100.975617,360,30,33162,38852,451,520,17
LTE,CBI1266,502949,CBI1266-L23,SAMITIVEJ CHONBURI HOSPITAL (BUILDING B),22,L23-CBI1266-2B,13.344605,100.975617,360,30,33162,39050,451,520,17
LTE,CBI1266,502949,CBI1266-L23,SAMITIVEJ CHONBURI HOSPITAL (BUILDING B),23,L23-CBI1266-3B,13.344605,100.975617,360,30,33162,39248,451,520,17
LTE,RM-CBI0071/E,502996,CBI0071B-L23,AMATANAKORN,52,L23-CBI0071-2E,13.436495,101.027205,315,30,33161,39050,2,520,17
LTE,RM-CBI0071/E,502996,CBI0071B-L23,AMATANAKORN,53,L23-CBI0071-3E,13.436495,101.027205,315,30,33161,39248,2,520,17
LTE,CBI0205,500234,CBI0205-L23,BRIDGESTONS AMATA,51,L23-CBI0205-1E,13.44546,101.054664,280,30,33163,38852,465,520,17
LTE,CBI0205,500234,CBI0205-L23,BRIDGESTONS AMATA,53,L23-CBI0205-3E,13.44546,101.054664,280,30,33163,39248,465,520,17
LTE,RM-CBI0341/D,500568,CBI0341-L23,LPN CONDO,41,L23-CBI0341-1D,13.3555,100.9881,10,30,33161,38852,59,520,17
