SYSTEM,SITE,ENBID,ENBNAME,SITE_NAME,CID,CELL_NAME,LAT,LON,DIR,ANT_BW,TAC,EUARFCN,PCI,MCC,MNC
LTE,CBI0829,500086,CBI0829-L23,BLACK BAMBOO RESORT,22,L23-CBI0829-2B,13.13854,100.98402,90,30,33091,39050,94,520,17
LTE,CBI0606,500420,CBI0606-L23,CHERDNOI,23,L23-CBI0606-3B,13.335906,101.103778,10,30,33163,39248,42,520,17
LTE,CBI0606,500420,CBI0606-L23,CHERDNOI,32,L23-CBI0606-2C,13.335906,101.103778,100,30,33163,39050,368,520,17
LTE,CBI0606,500420,CBI0606-L23,CHERDNOI,33,L23-CBI0606-3C,13.335906,101.103778,100,30,33163,39248,368,520,17
LTE,CBI0829,500086,CBI0829-L23,BLACK BAMBOO RESORT,23,L23-CBI0829-3B,13.13854,100.98402,90,30,33091,39248,94,520,17
LTE,CBI0829,500086,CBI0829-L23,BLACK BAMBOO RESORT,21,L23-CBI0829-1B,13.13854,100.98402,90,30,33091,38852,94,520,17
LTE,CBI0829,500086,CBI0829-L23,BLACK BAMBOO RESORT,31,L23-CBI0829-1C,13.13854,100.98402,180,30,33091,38852,95,520,17
LTE,CBI0829,500086,CBI0829-L23,BLACK BAMBOO RESORT,32,L23-CBI0829-2C,13.13854,100.98402,180,30,33091,39050,95,520,17
LTE,CBI0829,500086,CBI0829-L23,BLACK BAMBOO RESORT,33,L23-CBI0829-3C,13.13854,100.98402,180,30,33091,39248,95,520,17
LTE,CBI0856,500088,CBI0856-L23,PATTAYA LIBRARY,12,L23-CBI0856-2A,12.89646,100.88807,350,30,33083,39050,245,520,17
LTE,CBI0856,500088,CBI0856-L23,PATTAYA LIBRARY,13,L23-CBI0856-3A,12.89646,100.88807,350,30,33083,39248,245,520,17
LTE,CBI0856,500088,CBI0856-L23,PATTAYA LIBRARY,11,L23-CBI0856-1A,12.89646,100.88807,350,30,33083,38852,245,520,17
LTE,CBI0856,500088,CBI0856-L23,PATTAYA LIBRARY,21,L23-CBI0856-1B,12.89646,100.88807,150,30,33083,38852,243,520,17
LTE,CBI0856,500088,CBI0856-L23,PATTAYA LIBRARY,22,L23-CBI0856-2B,12.89646,100.88807,150,30,33083,39050,243,520,17
LTE,CBI0856,500088,CBI0856-L23,PATTAYA LIBRARY,23,L23-CBI0856-3B,12.89646,100.88807,150,30,33083,39248,243,520,17
LTE,CBI0856,500088,CBI0856-L23,PATTAYA LIBRARY,32,L23-CBI0856-2C,12.89646,100.88807,260,30,33083,39050,244,520,17
LTE,CBI0856,500088,CBI0856-L23,PATTAYA LIBRARY,33,L23-CBI0856-3C,12.89646,100.88807,260,30,33083,39248,244,520,17
LTE,CBI0856,500088,CBI0856-L23,PATTAYA LIBRARY,31,L23-CBI0856-1C,12.89646,100.88807,260,30,33083,38852,244,520,17
LTE,CBI0857,500089,CBI0857-L23,BAANMEESUK 4,11,L23-CBI0857-1A,13.40266,101.01231,40,30,33161,38852,3,520,17
LTE,CBI0857,500089,CBI0857-L23,BAANMEESUK 4,12,L23-CBI0857-2A,13.40266,101.01231,40,30,33161,39050,3,520,17
LTE,CBI0875,500090,CBI0875-L23,BAN BO YANG,12,L23-CBI0875-2A,13.111402,100.958748,340,30,33091,39050,104,520,17
LTE,CBI0875,500090,CBI0875-L23,BAN BO YANG,13,L23-CBI0875-3A,13.111402,100.958748,340,30,33091,39248,104,520,17
LTE,CBI0875,500090,CBI0875-L23,BAN BO YANG,11,L23-CBI0875-1A,13.111402,100.958748,340,30,33091,38852,104,520,17
LTE,CBI0857,500089,CBI0857-L23,BAANMEESUK 4,13,L23-CBI0857-3A,13.40266,101.01231,40,30,33161,39248,3,520,17
LTE,CBI0857,500089,CBI0857-L23,BAANMEESUK 4,22,L23-CBI0857-2B,13.40266,101.01231,140,30,33161,39050,4,520,17
LTE,CBI0857,500089,CBI0857-L23,BAANMEESUK 4,23,L23-CBI0857-3B,13.40266,101.01231,140,30,33161,39248,4,520,17
LTE,CBI0857,500089,CBI0857-L23,BAANMEESUK 4,21,L23-CBI0857-1B,13.40266,101.01231,140,30,33161,38852,4,520,17
LTE,CBI0857,500089,CBI0857-L23,BAANMEESUK 4,31,L23-CBI0857-1C,13.40266,101.01231,310,30,33161,38852,5,520,17
LTE,CBI0857,500089,CBI0857-L23,BAANMEESUK 4,32,L23-CBI0857-2C,13.40266,101.01231,310,30,33161,39050,5,520,17
LTE,CBI0857,500089,CBI0857-L23,BAANMEESUK 4,33,L23-CBI0857-3C,13.40266,101.01231,310,30,33161,39248,5,520,17
LTE,CBI0875,500090,CBI0875-L23,BAN BO YANG,33,L23-CBI0875-3C,13.111402,100.958748,130,30,33091,39248,221,520,17
LTE,CBI0939,500522,CBI0939-L23,KLONG MABYAILEA,11,L23-CBI0939-1A,12.92856,100.93846,10,30,33083,38852,314,520,17
LTE,CBI0939,500522,CBI0939-L23,KLONG MABYAILEA,12,L23-CBI0939-2A,12.92856,100.93846,10,30,33083,39050,314,520,17
LTE,CBI0939,500522,CBI0939-L23,KLONG MABYAILEA,13,L23-CBI0939-3A,12.92856,100.93846,10,30,33083,39248,314,520,17
LTE,CBI0939,500522,CBI0939-L23,KLONG MABYAILEA,22,L23-CBI0939-2B,12.92856,100.93846,120,30,33083,39050,313,520,17
LTE,CBI0939,500522,CBI0939-L23,KLONG MABYAILEA,23,L23-CBI0939-3B,12.92856,100.93846,120,30,33083,39248,313,520,17
LTE,CBI0939,500522,CBI0939-L23,KLONG MABYAILEA,21,L23-CBI0939-1B,12.92856,100.93846,120,30,33083,38852,313,520,17
LTE,CBI0939,500522,CBI0939-L23,KLONG MABYAILEA,31,L23-CBI0939-1C,12.92856,100.93846,230,30,33083,38852,312,520,17
LTE,CBI0939,500522,CBI0939-L23,KLONG MABYAILEA,32,L23-CBI0939-2C,12.92856,100.93846,230,30,33083,39050,312,520,17
LTE,CBI0394,500329,CBI0394-L23,PINTONG,23,L23-CBI0394-3B,13.095421,101.053989,120,30,33092,39248,177,520,17
LTE,CBI0021,500110,CBI0021-L23,BAN_KLONG_YAI,33,L23-CBI0021-3C,12.891111,101.046944,225,30,33083,39248,31,520,17
LTE,CBI0021,500110,CBI0021-L23,BAN_KLONG_YAI,42,L23-CBI0021-2D,12.891111,101.046944,310,30,33083,39050,81,520,17
LTE,CBI0939,500522,CBI0939-L23,KLONG MABYAILEA,33,L23-CBI0939-3C,12.92856,100.93846,230,30,33083,39248,312,520,17
LTE,CBI0966,500091,CBI0966-L23,BANBANGLAMUNG SCHOOL,11,L23-CBI0966-1A,13.04401,100.92922,310,30,33081,38852,164,520,17
LTE,CBI0966,500091,CBI0966-L23,BANBANGLAMUNG SCHOOL,12,L23-CBI0966-2A,13.04401,100.92922,310,30,33081,39050,164,520,17
LTE,CBI0966,500091,CBI0966-L23,BANBANGLAMUNG SCHOOL,13,L23-CBI0966-3A,13.04401,100.92922,310,30,33081,39248,164,520,17
LTE,CBI0966,500091,CBI0966-L23,BANBANGLAMUNG SCHOOL,22,L23-CBI0966-2B,13.04401,100.92922,40,30,33081,39050,163,520,17
LTE,CBI0966,500091,CBI0966-L23,BANBANGLAMUNG SCHOOL,23,L23-CBI0966-3B,13.04401,100.92922,40,30,33081,39248,163,520,17
LTE,CBI0966,500091,CBI0966-L23,BANBANGLAMUNG SCHOOL,21,L23-CBI0966-1B,13.04401,100.92922,40,30,33081,38852,163,520,17
