SYSTEM,SITE,LAT,LON,CELL_NAME,CID,ENBID,DIR,ANT_BW,TAC,EUARFCN,PCI,MCC,MNC
LTE,CBI1292-L23,13.1572598,100.9149036,L23-CBI1292-1A,11,502437,50,30,33091,38852,66,520,17
LTE,CBI1292-L23,13.1572598,100.9149036,L23-CBI1292-2A,12,502437,50,30,33091,39050,66,520,17
LTE,CBI1292-L23,13.1572598,100.9149036,L23-CBI1292-3A,13,502437,50,30,33091,39248,66,520,17
LTE,CBI1289-L23,13.053102,100.925785,L23-CBI1289-1A,11,502420,340,30,33091,38852,326,520,17
LTE,CBI1289-L23,13.053102,100.925785,L23-CBI1289-2A,12,502420,340,30,33091,39050,326,520,17
LTE,CBI1289-L23,13.053102,100.925785,L23-CBI1289-3A,13,502420,340,30,33091,39248,326,520,17
LTE,CBI1276-L23,13.40244,101.06185,L23-CBI1276-1A,11,500971,0,30,33163,38852,232,520,17
LTE,CBI1276-L23,13.40244,101.06185,L23-CBI1276-2A,12,500971,0,30,33163,39050,232,520,17
LTE,CBI1276-L23,13.40244,101.06185,L23-CBI1276-3A,13,500971,0,30,33163,39248,232,520,17
LTE,CBI1283-L23,13.43452,101.17947,L23-CBI1283-2A,12,502099,0,30,33033,39050,206,520,17
LTE,CBI1283-L23,13.43452,101.17947,L23-CBI1283-3A,13,502099,0,30,33033,39248,206,520,17
LTE,CBI1281-L23,13.41317,101.06735,L23-CBI1281-1A,11,502299,0,30,33163,38852,95,520,17
LTE,CBI1281-L23,13.41317,101.06735,L23-CBI1281-2A,12,502299,0,30,33163,39050,95,520,17
LTE,CBI1281-L23,13.41317,101.06735,L23-CBI1281-3A,13,502299,0,30,33163,39248,95,520,17
LTE,CBI1280-L23,12.8614,100.90398,L23-CBI1280-1A,11,502447,40,30,33083,38852,195,520,17
LTE,CBI1280-L23,12.8614,100.90398,L23-CBI1280-2A,12,502447,40,30,33083,39050,195,520,17
LTE,CBI1280-L23,12.8614,100.90398,L23-CBI1280-3A,13,502447,40,30,33083,39248,195,520,17
LTE,CBI0125B-L23,12.76982,100.93642,L23-CBI0125-1M,131,502571,315,30,33083,38852,315,520,17
LTE,CBI0125B-L23,12.76982,100.93642,L23-CBI0125-2M,132,502571,315,30,33083,39050,315,520,17
LTE,CBI0125B-L23,12.76982,100.93642,L23-CBI0125-3M,133,502571,315,30,33083,39248,315,520,17
LTE,CBI0125B-L23,12.76982,100.93642,L23-CBI0125-1N,141,502571,225,30,33083,38852,316,520,17
LTE,CBI0125B-L23,12.76982,100.93642,L23-CBI0125-3N,143,502571,225,30,33083,39248,316,520,17
LTE,CBI1294-L23,12.7681,100.9366,L23-CBI1294-1A,11,502485,40,30,33083,38852,337,520,17
LTE,CBI1294-L23,12.7681,100.9366,L23-CBI1294-2A,12,502485,40,30,33083,39050,337,520,17
LTE,CBI1294-L23,12.7681,100.9366,L23-CBI1294-3A,13,502485,40,30,33083,39248,337,520,17
LTE,CBI1294-L23,12.7681,100.9366,L23-CBI1294-1B,21,502485,160,30,33083,38852,338,520,17
LTE,CBI1294-L23,12.7681,100.9366,L23-CBI1294-2B,22,502485,160,30,33083,39050,338,520,17
LTE,CBI1294-L23,12.7681,100.9366,L23-CBI1294-3B,23,502485,160,30,33083,39248,338,520,17
LTE,CBI1294-L23,12.7681,100.9366,L23-CBI1294-1C,31,502485,290,30,33083,38852,336,520,17
