SYSTEM	SITE	ENBID	ENBNAME	SITE_NAME	CID	CELL_NAME	LAT	LON	DIR	ANT_BW	TAC	MCC	MNC	EARFCN	PCI
LTE	BKK1502	303898	BKK1502-L23	WALLSTREET_TOWER	13	L23-BKK1502-3A	13.730016	100.532732	360	170	33022	520	17	39248	448
LTE	BKK1502	303898	BKK1502-L23	WALLSTREET_TOWER	12	L23-BKK1502-2A	13.730016	100.532732	360	170	33022	520	17	39050	448
LTE	BKK1502	303898	BKK1502-L23	WALLSTREET_TOWER	22	L23-BKK1502-2B	13.730016	100.532732	360	170	33022	520	17	39050	449
LTE	BKK1502	303898	BKK1502-L23	WALLSTREET_TOWER	23	L23-BKK1502-3B	13.730016	100.532732	360	170	33022	520	17	39248	449
LTE	BKK1502	303898	BKK1502-L23	WALLSTREET_TOWER	21	L23-BKK1502-1B	13.730016	100.532732	360	170	33022	520	17	38852	449
LTE	BKK1662	303902	BKK1662-L23	M_THAI_TOWER	11	L23-BKK1662-1A	13.739541	100.547521	360	170	33053	520	17	38852	478
LTE	BKK1662	303902	BKK1662-L23	M_THAI_TOWER	12	L23-BKK1662-2A	13.739541	100.547521	360	170	33053	520	17	39050	478
LTE	BKK1662	303902	BKK1662-L23	M_THAI_TOWER	13	L23-BKK1662-3A	13.739541	100.547521	360	170	33053	520	17	39248	478
LTE	BKK1662	303902	BKK1662-L23	M_THAI_TOWER	23	L23-BKK1662-3B	13.739541	100.547521	360	170	33053	520	17	39248	479
LTE	BKK1662	303902	BKK1662-L23	M_THAI_TOWER	22	L23-BKK1662-2B	13.739541	100.547521	360	170	33053	520	17	39050	479
LTE	BKK1662	303902	BKK1662-L23	M_THAI_TOWER	21	L23-BKK1662-1B	13.739541	100.547521	360	170	33053	520	17	38852	479
LTE	BKK1812	303906	BKK1812-L23	GE_CAPITAL_TOWER	11	L23-BKK1812-1A	13.73881	100.54731	360	170	33053	520	17	38852	459
