SYSTEM	SITE	LAT	LON	CELL_NAME	CID	DIR	ANT_BW	LAC	MCC	MNC	EARFCN	PCI
LTE	CBI1390-L23	13.501622	101.259003	L23-CBI1390-3C	33	170	30	33033	520	17	39248                                                       	113
LTE	CBI0833-L23	13.040277	100.955	L23-CBI0833-1B	21	120	30	33083	520	17	38852                                                       	96
LTE	CBI0701-L23	13.28932	101.38924	L23-CBI0701-3C	33	240	30	33121	520	17	39248                                                       	55
LTE	CBI0503-L23	12.964166	100.935555	L23-CBI0503-2A	12	320	30	33083	520	17	39050                                                       	395
LTE	CBI1009-L23	13.390277	101.216388	L23-CBI1009-2A	12	330	30	33092	520	17	39050                                                       	116
LTE	CBI1138-L23	13.36611	101.27589	L23-CBI1138-2C	32	290	30	33092	520	17	39050                                                       	310
LTE	CBI0070-L23	13.156666	100.956388	L23-CBI0070-2B	22	90	30	33091	520	17	39050                                                       	110
LTE	CBI1151-L23	13.414615	101.27839	L23-CBI1151-2B	22	120	30	33092	520	17	39050                                                       	46
LTE	CBI1142-L23	13.247777	101.333888	L23-CBI1142-2B	22	140	30	33092	520	17	39050                                                       	168
LTE	CBI0075-L23	12.706666	100.890555	L23-CBI0075-2D	42	250	30	33082	520	17	39050                                                       	209
LTE	CBI0183-L23	12.709722	100.980555	L23-CBI0183-3D	43	230	30	33082	520	17	39248                                                       	131
LTE	CBI0255-L23	13.344722	100.983055	L23-CBI0255-2A	12	0	30	33162	520	17	39050                                                       	409
LTE	CBI0774-L23	13.1373	100.98509	L23-CBI0774-2C	32	260	30	33091	520	17	39050                                                       	360
LTE	CBI0088-L23	13.521111	101.209166	L23-CBI0088-2C	32	240	30	33033	520	17	39050                                                       	32
LTE	CBI1220-L23	13.375833	100.991388	L23-CBI1220-2B	22	130	30	33161	520	17	39050                                                       	13
LTE	CBI1138-L23	13.36611	101.27589	L23-CBI1138-3A	13	10	30	33092	520	17	39248                                                       	311
LTE	CBI0699-L23	13.301944	100.993611	L23-CBI0699-3B	23	50	30	33163	520	17	39248                                                       	169
LTE	CBI0486-L23	13.178996	100.928999	L23-CBI0486-1D	41	0	30	33091	520	17	38852                                                       	491
LTE	CBI0350-L23	12.92419949	100.862485	L23-CBI0350-2B	22	180	30	33081	520	17	39050                                                       	378
LTE	CBI0495-L23	13.076666	100.926388	L23-CBI0495-1D	41	190	30	33091	520	17	38852                                                       	140
LTE	CBI0327-L23	13.333055	100.951666	L23-CBI0327-3B	23	120	30	33162	520	17	39248                                                       	400
LTE	CBI1263-L23	13.02994	101.12395	L23-CBI1263-1H	81	290	30	33092	520	17	38852                                                       	31
LTE	CBI1114-L23	13.1101	100.997	L23-CBI1114-2E	52	290	30	33091	520	17	39050                                                       	307
LTE	CBI1002-L23	12.960555	100.915	L23-CBI1002-1C	31	310	30	33081	520	17	38852                                                       	355
LTE	CBI0492-L23	12.67829	100.93729	L23-CBI0492-3C	33	240	30	33082	520	17	39248                                                       	62
LTE	CBI0182-L23	12.910277	100.856666	L23-CBI0182-2D	42	270	30	33081	520	17	39050                                                       	415
LTE	CBI0187-L23	13.260833	101.305833	L23-CBI0187-1C	31	260	30	33092	520	17	38852                                                       	397
LTE	CBI0691-L23	12.896666	100.901111	L23-CBI0691-2B	22	90	30	33083	520	17	39050                                                       	356
LTE	CBI1152-L23	13.45817	101.25159	L23-CBI1152-3B	23	60	30	33033	520	17	39248                                                       	188
LTE	CBI1139-L23	13.33333	101.11915	L23-CBI1139-3D	43	110	30	33163	520	17	39248                                                       	176
LTE	CBI1139-L23	13.33333	101.11915	L23-CBI1139-3D	43	110	30	33163	520	17	39248                                                       	176
LTE	CBI1256-L23	13.309692	100.902806	L23-CBI1256-2C	32	130	30	33162	520	17	39050                                                       	59
LTE	CBI1227-L23	13.439722	101.080277	L23-CBI1227-2A	12	0	30	33163	520	17	39050                                                       	344
LTE	CBI1330-L23	13.11854	100.92108	L23-CBI1330-1A	11	330	30	33091	520	17	38852                                                       	151
LTE	CBI0019-L23	13.120555	101.1625	L23-CBI0019-3D	43	245	30	33092	520	17	39248                                                       	69
LTE	CBI1238-L23	13.39052	101.02403	L23-CBI1238-2A	12	60	30	33161	520	17	39050                                                       	217
LTE	CBI0013-L23	12.863611	100.895833	L23-CBI0013-1D	41	160	30	33083	520	17	38852                                                       	197
LTE	CBI0794-L23	13.321111	100.953888	L23-CBI0794-3A	13	20	30	33162	520	17	39248                                                       	11
LTE	CBI0314-L23	13.410555	101.059444	L23-CBI0314-2C	32	150	30	33163	520	17	39050                                                       	173
LTE	CBI0130-L23	12.983333	100.950277	L23-CBI0130-3D	43	250	30	33083	520	17	39248                                                       	340
LTE	CBI1012-L23	13.10583	101.14611	L23-CBI1012-1C	31	130	30	33092	520	17	38852                                                       	115
LTE	CBI0698-L23	13.48729	101.13645	L23-CBI0698-2C	32	240	30	33033	520	17	39050                                                       	3
LTE	CBI0580-L23	13.086944	100.948055	L23-CBI0580-1D	41	190	30	33091	520	17	38852                                                       	319
LTE	CBI0412-L23	13.4825	101.322777	L23-CBI0412-2B	22	120	30	33033	520	17	39050                                                       	298
LTE	CBI1027-L23	13.312222	100.963333	L23-CBI1027-1B	21	110	30	33162	520	17	38852                                                       	262
LTE	CBI0848-L23	12.8825	100.912222	L23-CBI0848-2B	22	90	30	33083	520	17	39050                                                       	255
LTE	CBI0089-L23	13.1475	100.950277	L23-CBI0089-2B	22	100	30	33091	520	17	39050                                                       	326
LTE	CBI0165-L23	13.5225	101.264444	L23-CBI0165-1B	21	90	30	33033	520	17	38852                                                       	23
LTE	CBI0712-L23	13.12553	101.36273	L23-CBI0712-1B	21	130	30	33121	520	17	38852                                                       	179
LTE	RYG0654-L23	12.957644	101.112992	L23-RYG0654-1B	21	60	30	33092	520	17	38852                                                       	207
